,0
0,4.53122570450066
1,4.56639575997291
2,1.0521623973483092
3,1.401812541154855
4,3.3072883436343137
5,0.41985319943704996
6,2.3955591967597045
7,-0.2161921106661524
8,0.20462982873787286
9,0.002110410831051732
10,-0.5727919912520826
11,0.25517839394946085
12,0.08665600121411204
13,-0.7801557913883779
14,-0.0736199399935979
15,-0.5795190225737351
16,-1.0590638702264035
17,-0.6618969309284211
18,-0.28639634090317295
19,-0.3278204179379673
20,-0.2715708517247395
21,0.5615467891217035
22,-0.35150300318090866
23,1.5512632432837898
24,1.282418123890764
25,-0.8885736275124664
26,-0.6269922928392512
27,-0.2676775798003401
28,-0.36271122468970174
29,-0.05093868364816064
30,-0.7477595239497078
31,2.022387700630542
32,0.56634137171699
33,-0.5528111981164707
34,-0.2254180190485657
35,-0.3336966208012899
36,-0.804915240312085
37,-0.47734025534797214
38,0.10603896568153821
39,-0.496436305442186
40,0.42831326178407275
41,-0.06816020801990856
42,-0.47700915157081775
43,-0.34815335176981493
44,-0.818108038809391
45,-0.6945717904467998
46,-0.12451568283164635
47,-0.060726642776214645
48,-0.756533762560011
49,1.0558011164153187
50,-0.8358327851281504
51,-0.25387133295478737
52,-0.6261560342499136
53,-0.4199081671315598
54,-0.024031519066331854
55,-1.2041093495013129
56,0.08665531379240432
57,-0.016404706632034638
58,-0.1774586985982292
59,-0.6952600219220493
60,0.638364142290636
61,2.7162184703122865
62,-0.47072257129393086
63,-0.5053971500153016
64,-0.9933737251152567
65,-0.5860993998836196
66,0.6508335790190686
67,3.2883790569467606
68,2.426364769605101
69,-0.6951267979256062
70,2.0017048407481624
71,-0.5424720322608431
72,-0.8254903736292738
73,-0.5225459417908731
74,0.09038318729782088
75,-0.8126887252841426
76,-0.13718532034054703
77,-0.05245984239038308
78,1.125434983470621
79,-0.9221283433414104
80,-0.9063259680076925
81,0.6078788622673339
82,0.5998683678769198
83,0.06041411003602474
84,-1.0748801187624828
85,-0.9076678250431074
86,-0.6376303454962093
87,-0.4269460394600449
88,0.7215014049197308
89,-0.9196147949622472
90,-0.19017041793692396
